Which country's aspirations for freedom were expressed in this song?<br>(A popular remix of this song also gained popularity during the FIFA World Cup 2010 as a promotional anthem) (Options: Option A} Haiti Option B} Canada Option C} Somalia Option D} South Africa  Correct: Somalia)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"This song was originally written to reflect the singer K'naan's experiences growing up in Somalia amidst the civil war and was intended to convey a message of hope and resilience for the people of Somalia. <br>Later, a remixed version of the song produced by the Canadian band, Young Artists for Haiti, gained global fame during the 2010 FIFA World Cup.","mediaEmbedded":"video","mediaLink":"https://youtu.be/awbmTxD7sMM?si=QiI-1tcWMAtVV7oD","startTime":4,"endTime":51,"card":100}

The famous statue shown in the image is _____________.JSONParams:{"qType":"Fill up","weightage":1,"ansExplanation":"Statue of Liberty","mediaEmbedded":"image","mediaLink":"https://images.pexels.com/photos/60003/statue-of-liberty-new-york-ny-nyc-60003.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2","startTime":0,"endTime":0,"card":10}

Who was the first Indian political figure to receive the Bharat Ratna, India's highest civilian award? (Options: Option A} V.V. Giri Option B} Dr. Rajendra Prasad Option C} Sarvepalli Radhakrishnan Option D} Dr. Zakir Husain  Correct: Sarvepalli Radhakrishnan)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"He received this honor in 1954 for his distinguished service to the nation in the field of education. Radhakrishnan was a renowned philosopher, scholar, and statesman who also served as the first Vice President and the second President of independent India.","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":75}

This radio advertisement is associated with which brand? (Options: Option A} Ariel Option B} Surf Excel Option C} Tide Option D} Nirma  Correct: Tide)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"audio","mediaLink":"https://youtu.be/cXc0fBOMOkw?si=OLfnSgJCht1IvzMK","startTime":0,"endTime":45,"card":100}

This music is the official theme of which sports tournament? (Options: Option A} FIFA World Cup 2022 Option B} FIH Hockey World Cup 2023 Option C} ICC T20 World Cup 2024 Option D} IPL 2024  Correct: ICC T20 World Cup 2024)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"audio","mediaLink":"https://youtu.be/Cv_mtWdmOCU?si=f3gFp-NGkd99rchc","startTime":0,"endTime":38,"card":50}

Which of these monuments is a UNESCO World Heritage Site? (Options: Option A} Ajanta Caves Option B} Taj Mahal Option C} Qutub Minar Option D} Both (a) & (b)  Correct: Both (a) & (b))JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":25}

Which Indian state has the longest coastline? (Options: Option A} Gujarat Option B} Maharashtra Option C} Tamil Nadu Option D} Andhra Pradesh  Correct: Gujarat)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":25}

Which movie is this dialogue associated with? (Options: Option A} Dangal Option B} Sholay Option C} Baahubali: The Beginning Option D} Zanjeer  Correct: Sholay)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"audio","mediaLink":"https://youtu.be/SsSZWH9aloc?si=pyzOlK_pJFPMgz64","startTime":0,"endTime":15,"card":10}

What is the capital of Malaysia? (Options: Option A} Jakarta Option B} Kuala Lumpur Option C} Manila Option D} Riyadh  Correct: Kuala Lumpur)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":10}

Which country is the largest exporter of oil in the world? (Options: Option A} Russia Option B} UAE Option C} Iraq Option D} Saudi Arabia  Correct: Saudi Arabia)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":25}

Who was the first president of the United States? (Options: Option A} George Washington Option B} Thomas Jefferson Option C} Abraham Lincoln Option D} Franklin D. Roosevelt  Correct: George Washington)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":10}

Which country is the largest producer of milk? (Options: Option A} China Option B} India Option C} United States Option D} Brazil  Correct: India)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":25}

Which city is known as the "City of Canals"? (Options: Option A} Stockholm Option B} Amsterdam Option C} Venice Option D} Copenhagen  Correct: Venice)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":75}

Which ancient wonder was located in Egypt? (Options: Option A} Hanging Gardens of Babylon Option B} Statue of Zeus at Olympia Option C} Great Pyramid of Giza Option D} Temple of Artemis at Ephesus  Correct: Great Pyramid of Giza)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":50}

What is the full form of ISRO? (Options: Option A} Indian Scientific Research Organization Option B} International Space Research Organization Option C} Indian Space Research Organisation Option D} Indian Satellite Research Organisation  Correct: Indian Space Research Organisation)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":10}

Who was the founder of the Mauryan Empire? (Options: Option A} Chandragupta Maurya Option B} Ashoka Option C} Bindusara Option D} Samudragupta  Correct: Chandragupta Maurya)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":10}

Which ancient Indian scripture is also known as the "Song of God"? (Options: Option A} Ramayana Option B} Mahabharata Option C} Bhagavad Gita Option D} Upanishads  Correct: Bhagavad Gita)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":25}

Who was the founder of the Mughal Empire? (Options: Option A} Akbar Option B} Babur Option C} Shah Jahan Option D} Aurangzeb  Correct: Babur)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":10}

